RACEID,YEAR,ROUND,NAME,F1DATE,TIME,URL,SCORE,DNF_COUNT,DNF_DUE_TO_ACCIDENT_COUNT,WEATHER,WEATHER_WET,CIRCUITREF,YEAR_C,RACE_COUNT,NAME_YEAR,OVERTAKEN_POSITIONS_TOTAL
140,2002,17,Japanese Grand Prix,13-Oct-02,\N,http://en.wikipedia.org/wiki/2002_Japanese_Grand_Prix,,10,3,not found,N,suzuka,2002,1,2002 Japanese Grand Prix,98
143,2001,3,Brazilian Grand Prix,1-Apr-01,\N,http://en.wikipedia.org/wiki/2001_Brazilian_Grand_Prix,,12,6,"Dry first, rain and thunderstorms later; Air temp: 25–30 °C (77–86 °F)[1] Track 27–40 °C (81–104 °F)",Y,interlagos,2001,1,2001 Brazilian Grand Prix,122
148,2001,8,Canadian Grand Prix,10-Jun-01,\N,http://en.wikipedia.org/wiki/2001_Canadian_Grand_Prix,,13,5,Sunny,N,villeneuve,2001,1,2001 Canadian Grand Prix,81
152,2001,12,German Grand Prix,29-Jul-01,\N,http://en.wikipedia.org/wiki/2001_German_Grand_Prix,,12,4,not found,N,hockenheimring,2001,1,2001 German Grand Prix,85
153,2001,13,Hungarian Grand Prix,19-Aug-01,\N,http://en.wikipedia.org/wiki/2001_Hungarian_Grand_Prix,,10,5,"Hot, dry and partially cloudy",N,hungaroring,2001,1,2001 Hungarian Grand Prix,74
159,2000,2,Brazilian Grand Prix,26-Mar-00,\N,http://en.wikipedia.org/wiki/2000_Brazilian_Grand_Prix,,12,1,"Sunny, Air: 22 °C (72 °F), Track: 35 °C (95 °F)",N,interlagos,2000,1,2000 Brazilian Grand Prix,58
172,2000,15,United States Grand Prix,24-Sep-00,\N,http://en.wikipedia.org/wiki/2000_United_States_Grand_Prix,,10,2,"Cloudy, drying, Air 12 °C (54 °F), Track 14 °C (57 °F)",N,indianapolis,2000,1,2000 United States Grand Prix,253
175,1999,1,Australian Grand Prix,7-Mar-99,\N,http://en.wikipedia.org/wiki/1999_Australian_Grand_Prix,,14,4,Sunny and dry with temperatures reaching up to 19 °C (66 °F)[1],N,albert_park,1999,1,1999 Australian Grand Prix,129
179,1999,5,Spanish Grand Prix,30-May-99,\N,http://en.wikipedia.org/wiki/1999_Spanish_Grand_Prix,,10,1,"Cloudy, hot, dry 22 °C (72 °F)[1]",N,catalunya,1999,1,1999 Spanish Grand Prix,71
183,1999,9,Austrian Grand Prix,25-Jul-99,\N,http://en.wikipedia.org/wiki/1999_Austrian_Grand_Prix,,9,2,"Overcast, mild, dry",N,osterreichring,1999,1,1999 Austrian Grand Prix,110
187,1999,13,Italian Grand Prix,12-Sep-99,\N,http://en.wikipedia.org/wiki/1999_Italian_Grand_Prix,,12,6,Hot and dry with temperatures reaching up to 30 °C (86 °F)[1],N,monza,1999,1,1999 Italian Grand Prix,59
188,1999,14,European Grand Prix,26-Sep-99,\N,http://en.wikipedia.org/wiki/1999_European_Grand_Prix,,13,6,Wet/Dry,Y,nurburgring,1999,1,1999 European Grand Prix,114
190,1999,16,Japanese Grand Prix,31-Oct-99,\N,http://en.wikipedia.org/wiki/1999_Japanese_Grand_Prix,,9,0,"Overcast, mild, dry",N,suzuka,1999,1,1999 Japanese Grand Prix,92
198,1998,8,French Grand Prix,28-Jun-98,\N,http://en.wikipedia.org/wiki/1998_French_Grand_Prix,,7,1,not found,N,magny_cours,1998,1,1998 French Grand Prix,133
199,1998,9,British Grand Prix,12-Jul-98,\N,http://en.wikipedia.org/wiki/1998_British_Grand_Prix,,13,10,"Rain, Wet Track",Y,silverstone,1998,1,1998 British Grand Prix,84
206,1998,16,Japanese Grand Prix,1-Nov-98,\N,http://en.wikipedia.org/wiki/1998_Japanese_Grand_Prix,,10,3,Fine,N,suzuka,1998,1,1998 Japanese Grand Prix,70
210,1997,4,San Marino Grand Prix,27-Apr-97,\N,http://en.wikipedia.org/wiki/1997_San_Marino_Grand_Prix,,11,4,"Cloudy, Dry, 17 °C",N,imola,1997,1,1997 San Marino Grand Prix,32
216,1997,10,German Grand Prix,27-Jul-97,\N,http://en.wikipedia.org/wiki/1997_German_Grand_Prix,,11,5,"Sunny, dry track",N,hockenheimring,1997,1,1997 German Grand Prix,63
220,1997,14,Austrian Grand Prix,21-Sep-97,\N,http://en.wikipedia.org/wiki/1997_Austrian_Grand_Prix,,9,3,Sunny,N,osterreichring,1997,1,1997 Austrian Grand Prix,109
223,1997,17,European Grand Prix,26-Oct-97,\N,http://en.wikipedia.org/wiki/1997_European_Grand_Prix,,5,2,Sunny with temperatures reaching up to 25 °C (77 °F)[3],N,jerez,1997,1,1997 European Grand Prix,139
228,1996,5,San Marino Grand Prix,5-May-96,\N,http://en.wikipedia.org/wiki/1996_San_Marino_Grand_Prix,,13,2,Sunny,N,imola,1996,1,1996 San Marino Grand Prix,114
232,1996,9,French Grand Prix,30-Jun-96,\N,http://en.wikipedia.org/wiki/1996_French_Grand_Prix,,10,0,Dry,N,magny_cours,1996,1,1996 French Grand Prix,61
234,1996,11,German Grand Prix,28-Jul-96,\N,http://en.wikipedia.org/wiki/1996_German_Grand_Prix,,8,2,"Sunny, dry",N,hockenheimring,1996,1,1996 German Grand Prix,57
237,1996,14,Italian Grand Prix,8-Sep-96,\N,http://en.wikipedia.org/wiki/1996_Italian_Grand_Prix,,11,6,Dry,N,monza,1996,1,1996 Italian Grand Prix,47
240,1995,1,Brazilian Grand Prix,26-Mar-95,\N,http://en.wikipedia.org/wiki/1995_Brazilian_Grand_Prix,,16,4,Overcast,N,interlagos,1995,1,1995 Brazilian Grand Prix,0
241,1995,2,Argentine Grand Prix,9-Apr-95,\N,http://en.wikipedia.org/wiki/1995_Argentine_Grand_Prix,,17,9,Cloudy,N,galvez,1995,1,1995 Argentine Grand Prix,0
246,1995,7,French Grand Prix,2-Jul-95,\N,http://en.wikipedia.org/wiki/1995_French_Grand_Prix,,8,4,"Cloudy, light drizzle at times",N,magny_cours,1995,1,1995 French Grand Prix,0
247,1995,8,British Grand Prix,16-Jul-95,\N,http://en.wikipedia.org/wiki/1995_British_Grand_Prix,,13,7,"Warm, cloudy, windy",N,silverstone,1995,1,1995 British Grand Prix,0
251,1995,12,Italian Grand Prix,10-Sep-95,\N,http://en.wikipedia.org/wiki/1995_Italian_Grand_Prix,,14,8,not found,N,monza,1995,1,1995 Italian Grand Prix,0
