review_id,hotel_id,review_usercity,review_date,name,review
575499706,VCBCX1,Unknown,2018-04-24,Vancouver X Inn,"This XT property definitely meets my expectations for a full service hotel as facility is well maintained and the employees are extremely courteous and attentive.  The room was pleasant and for me was a two room suite.  The master bed had its own door for privacy and the bathroom is accessible by both rooms via a single door.  There was plenty of room to relax with a hide-away sofa and the desk was well lit for work.  A simple service bar is available with complimentary coffee/tea and a wine refrigerator.  The view I had was shared by the Executive lounge which overlooks the Crystal Mall.  If you're into sushi, there are two incredible places just across the street, as well as an Earl's and other fine dining.  It was close to where I needed to be so it was not only comfortable but convenient as well.  I have already returned to this property and hope to stay again when I return for more business."
477003835,VCBCX1,Unknown,2017-04-18,Vancouver X Inn,"One night in Vancouver when we visited our son who goes to college there. I ravel a lot and stay in many hotels. The service at The Vancouver XT Metrotown was courteous and efficient. The 11th floor room was nicely appointed, spotlessly clean, and smelled fresh. The elevators actually go nice and quickly, which is a bonus on the 11th floor. Bed was comfy. Everyone was so friendly. Even the cleaning staff were full of smiles and wishing us a good morning.This makes a big difference! But best of all was the restaurant. We just had one meal there (dinner). The food was excellent (my wife has chicken and I had fish). The service was spectacular - our server was deligtfuland really on the ball (I forget her name, but she was from the Czech Republic Republic). She really looked after us. Overall an excellent stay and I highly recommend this hotel. It's a people business and these folk get it!"
488584133,VCBCX1,Unknown,2017-05-28,Vancouver X Inn,"My vehicle was parked in underground hotel parkade during my 3 day stay there.  My vehicle was broken into shortly after I checked-in. The hotel asked if I was in valet parking - I was right beside it.  But no security cameras caught the break-in.  There was no electronic gate at the entrance or exit.  Very bad security!  I lost approximately $800 in valuables including prescription medication.  I asked if the hotel would pay the deductible for the broken window and locks.  I was told the XT did not own the parkade and that there were signs advising that it was not responsible for vehicle break-ins.  Other than that, I found the staff quite friendly and the accomodation quite nice.  The $30 I paid for my daughter's breakfast buffet was a little steep!"
242843543,VCBCX1,Unknown,2014-12-03,Vancouver X Inn,"Vancouver was a significant stop on a 5 week road trip from Jackson, Wyoming, ending in Northern California.  To reduce expenses, I booked this hotel using XT points.  Although the hotel is not in downtown Vancouver, it was an easy train ride into town.  Our room was upgraded, and we had a separate bedroom and living area.  As a result, my friend had to sleep on a sleeper sofa which wasn't the most comfortable.  The extra space was helpful, but her sleeping arrangements weren't ideal.  The hotel staff is friendly and provided good directions to the train station and local transportation.  When driving it, it took us quite some time to find the hotel even with GPS, and traffic was horrific."
288729010,VCBCX1,Unknown,2015-07-13,Vancouver X Inn,"The best cost benefit for a family of four with an excellent location in Vancouver: public transportation, variety of good restaurants and a shoping mall at one block, plus an outstanding service from all employees of the hotel. My wife, two teen kids and I, comfortable in the same suite, it is possible at this unique XT. Despite some minor issues like: no microwave in the room, no breakfast family package, no shuttle to anywhere, which i would firmly suggest to XT of considering these easy improvements to gain the excellent, as the experience for staying for a long period is, so far, totally acceptable without suffering."
296762201,VCBCX1,Unknown,2015-08-07,Vancouver X Inn,We stayed 6 nights at this hotel a little bit further than Vancouver. It is a five minute walk away from the Metropolis Metrotown shopping mall and across the street from a supermarket and drugstore. The neighborhood is under construction but once inside the hotel you enjoy a quiet atmosphere and luxurious large rooms. Prefer to stay at a high level for enjoying the view to the buildings and mountains. We definitely recommand this hotel if you have a car to drive to Granville Island or Vancouver. Selfparking is available  for a fee but you can choose valet parking alternatively. We enjoyed free wifi.
168480110,VCBCX1,Unknown,2013-07-21,Vancouver X Inn,"Being a XT Diamond member for many years, to say I have many points of reference is redundant. This is one of those XT's which is a standout. the location is great; adjacent to Metrotown and SkyTrain. The executive lounge staff is top-notch and include Jennifer and Candace. The two ladies and very polite, professional, friendly and efficient. I could have easily stayed closer to my work, but found this XT my preference even if I had to take a taxi to and from work every day. I believe I stayed here at least 8 different weeks over a couple of years and will whenever I do visit again."
627361020,VCBCX1,Unknown,2018-10-22,Vancouver X Inn,It was a first visit to Vancouver for a 3 day event held at this hotel. Every employee we encountered was intent on making sure our stay was comfortable and stress free.  The food was delicious both in the restaurant and at our event.  Our beds were comfortable and made up fresh every day. Especially appreciated were the manager and chef that came running to help with a nasty glue gun burn during prep for the event. That chef even checked on me during lunch the next day.  This hotel made an unforgettable event even better. Let's hope the Hearties use them again next year. â¤ï¸
422826413,VCBCX1,Unknown,2016-09-27,Vancouver X Inn,We stayed three days pre cruise on route to Alaska and one day post cruise on return. The hotel is well positioned for the sky train for exploring down town with the usual comforts you expect from the XT brand. We were travelling with our two friends who like ourselves noted the friendly helpful manner of the staff. Sometimes in a big organisation this can be the hardest area to get right. But as we say in Scotland everyone was singing from the same hymn sheet and the staff from the doormen breakfast and bar staff to the reception were exceptional. Great chat and good fun.
558030698,VCBCX1,Unknown,2018-02-02,Vancouver X Inn,"We stayed at this hotel for 3 nights and had picked it due to its location near the skytrain. However despite being a XT Honors member and using 30,000 points we were given a different room to what we booked and it overlooked a noisy very large construction area. Very disappointing after a 14 hr plane trip! It was also near a very noisy ice machine - staff made no effort to discuss while we were there and to reconcile. Despite this beds were comfortable and food in restaurant in hotel was very good. The hotel lacks atmosphere though - needs a makeover. "
